Article	Evaluation1	Evaluation2
雨が降ってるから気分が落ち込む。早く晴れてほしいな。	n	n
友達と映画を見に行ったけど、感動して泣いちゃった。	p	p
新しい仕事が始まって緊張するけど、頑張りたい。	e	p
美味しいケーキを食べて、幸せな気持ちになった。	p	p
ペットが病気になって心配でたまらない。早く元気になって。	p	p
家族と一緒に過ごす時間がとても楽しかった。	p	p
仕事でミスをして上司に叱られてしまった。反省しないと。	n	n
旅行の計画を立てているときが一番ワクワクする。	p	p
久しぶりに会った友達と話して、元気が出た。	p	p
電車が遅れてイライラするけど、仕方がない。	n	p
新しい趣味を見つけて、毎日が楽しい。	p	p
彼氏とのデートで素敵なレストランに行って幸せ。	p	p
今日も一日がんばった。自分を褒めたい気分。	p	n
雨の日はどうしても気分が沈んでしまう。	n	e
大好きな音楽を聴くと気分が明るくなる。	p	p
試験の結果が悪くて、落ち込んでしまった。	n	n
彼女からのサプライズプレゼントに感動した。	p	p
久しぶりに休みが取れて、ゆっくり休むことができた。	p	e
仕事が忙しくてストレスが溜まっている。	n	n
友達と喧嘩してしまって、悲しい気持ちになった。	n	p
新しい洋服を買って、気分が上がった。	p	e
猫と一緒に過ごす時間が一番の癒し。	p	p
今日は特に何もない一日だったけど、それも悪くない。	p	n
親友と久しぶりに再会して、楽しい時間を過ごした。	p	p
好きなドラマの新シーズンが始まって嬉しい。	p	p
失恋してからなかなか立ち直れない。	n	p
仕事のプレゼンがうまくいって、自信がついた。	p	p
朝から体調が悪くて、一日中寝ていた。	n	n
散歩中に見た夕日がとても綺麗だった。	p	p
新しいレシピを試してみたら、美味しくできた。	p	p
同僚に助けられて、感謝の気持ちでいっぱい。	p	p
彼氏との電話が楽しくて、夜更かししてしまった。	p	p
スポーツジムで体を動かして、スッキリした。	p	p
雨上がりの虹を見て、心が洗われるようだった。	p	p
試合に勝って、チーム全員で喜んだ。	p	e
今日は誕生日で、たくさんのメッセージをもらった。	p	p
ミスをしてしまって、上司に怒られて落ち込んだ。	n	n
久しぶりに母の手料理を食べて、懐かしい気分になった。	p	e
面白い本を見つけて、読みふけってしまった。	p	p
友達の結婚式に参加して、幸せな気持ちになった。	p	p
風邪をひいてしまって、ずっと寝ている。	n	n
新しいゲームを始めて、ハマってしまった。	p	e
猫が膝の上に乗ってきて、癒された。	p	e
長い一日が終わって、ほっと一息ついた。	p	p
昇進が決まって、とても嬉しい。	p	p
お風呂に入ってリラックスする時間が好き。	p	p
友達とカフェでおしゃべりして、楽しい時間を過ごした。	p	p
自分の作品が認められて、嬉しい気持ちになった。	p	p
会議が長引いて疲れたけど、達成感がある。	p	p
彼女との旅行が楽しみで、待ちきれない。	p	n
仕事が終わって家に帰ると、ホッとする。	p	e
好きなバンドのライブに行って、最高の夜だった。	p	p
忙しい日々が続いていて、少し疲れている。	n	n
彼氏からのサプライズに驚いて、嬉しかった。	p	e
親友と大喧嘩してしまって、後悔している。	n	n
美味しいラーメンを食べて、幸せな気持ちになった。	p	p
風が強くて、外に出るのが億劫だった。	n	e
新しいプロジェクトが始まって、やる気満々。	p	p
長時間の会議で疲れ果ててしまった。	n	n
久しぶりに海に行って、リフレッシュできた。	p	p
試験勉強が大変で、ストレスが溜まっている。	n	n
友達の赤ちゃんが生まれて、とても嬉しい。	p	p
プレゼントをもらって、心が温まった。	p	p
好きなアーティストのコンサートが楽しみ。	p	p
雨の日は読書に限ると、改めて感じた。	e	e
体調が良くなくて、会社を休んだ。	n	n
新しい料理に挑戦して、上手くできた。	p	p
映画館で見た映画がとても面白かった。	p	p
彼氏とケンカして、悲しい気持ちになった。	n	e
友達とアウトドアに出かけて、楽しかった。	p	p
上司に認められて、やる気が出た。	p	p
誕生日プレゼントをもらって、とても嬉しかった。	p	p
雪が降っていて、外に出るのが楽しみ。	p	p
新しいカフェを見つけて、友達と行ってみた。	p	n
仕事でミスしてしまって、落ち込んでいる。	n	n
好きなアニメの新作が出て、ワクワクしている。	p	p
体調が悪くて、早退した。	n	n
友達と旅行に行って、最高の思い出ができた。	p	p
疲れているのに、寝付けない夜が続いている。	n	p
新しい靴を買って、ウキウキしている。	p	e
恋人との記念日を祝って、幸せな時間を過ごした。	p	p
上司に褒められて、自信がついた。	p	p
雨の日の静けさが好きで、落ち着く。	p	p
友達とのランチがとても楽しかった。	p	p
仕事で成果を出して、達成感がある。	p	p
お風呂にゆっくり浸かって、リラックスした。	p	p
彼女と喧嘩して、気まずい雰囲気になった。	n	e
新しい本を読み始めて、止まらなくなった。	p	e
大好きなカフェで、ゆっくり過ごす時間が幸せ。	p	p
友達の誕生日を祝って、一緒に楽しんだ。	p	p
仕事が忙しくて、なかなか休めない。	n	e
好きな映画を見て、リフレッシュできた。	p	p
彼氏とのデートで、素敵な時間を過ごした。	p	p
雨が降っていて、外に出るのが憂鬱。	n	n
友達と一緒にいると、元気が出る。	p	p
仕事でミスをして、上司に叱られた。	n	n
新しいレストランで、美味しい料理を楽しんだ。	p	p
体調が悪くて、一日中寝ていた。	n	n
友達とショッピングして、楽しい時間を過ごした。	p	p
彼氏からのサプライズに感動した。	p	p
新しい仕事が始まって、緊張するけど頑張りたい。	p	p
好きな音楽を聴くと気分が明るくなる。	p	p

---
Accuracy: 75.71%
